,:ID,PKG_NAME,PAGE_RANK,:LABEL
171,alire171,make,2.8458759100327558,alire
181,alire181,matreshka_league,2.8353367795061653,alire
289,alire289,xmlada,2.8115315041081,alire
93,alire93,hal,2.80151858764524,alire
273,alire273,utilada,2.755766463203086,alire
74,alire74,gnatcoll,2.7408396307844445,alire
140,alire140,libgpr,2.7314420833029187,alire
118,alire118,lace_shared,2.513347767396932,alire
123,alire123,libadalang,2.4300844610409302,alire
235,alire235,sdlada,2.392390513178242,alire
0,alire0,aaa,2.367364192025189,alire
91,alire91,gtkada,2.3419538922753977,alire
76,alire76,gnatcoll_iconv,2.320775206998541,alire
44,alire44,cortex_m,2.307901752317802,alire
278,alire278,utilada_xml,2.297848417365628,alire
230,alire230,rp2040_hal,2.265768609042505,alire
138,alire138,libgnutls,2.2652193188606007,alire
69,alire69,gnat_arm_elf,2.2619781843183717,alire
163,alire163,libx11,2.255197721423894,alire
110,alire110,lace_c_math,2.2518858887918034,alire
115,alire115,lace_math,2.24575229891611,alire
23,alire23,atomic,2.238459650857661,alire
133,alire133,libfreetype,2.217971365328149,alire
10,alire10,ado,2.2159929234533404,alire
112,alire112,lace_gel,2.2159929234533404,alire
54,alire54,embedded_components,2.208416509787643,alire
229,alire229,ros2_foxy,2.192815727249453,alire
236,alire236,security,2.182559332542082,alire
67,alire67,gid,2.182070112272326,alire
129,alire129,libcsfml,2.17963943149874,alire
146,alire146,libiconv,2.167007674650759,alire
194,alire194,matreshka_xml,2.1563620149423883,alire
167,alire167,lvgl_ada,2.141345503988408,alire
234,alire234,samd51_hal,2.138711902704157,alire
178,alire178,matreshka_amf_uml,2.1330152760677787,alire
204,alire204,openglada,2.1330152760677787,alire
295,alire295,zlib,2.1330152760677787,alire
241,alire241,servletada,2.1307151027740185,alire
18,alire18,ansiada,2.12607794570625,alire
119,alire119,lace_swig,2.1248475220804246,alire
28,alire28,aws,2.1013101324232304,alire
9,alire9,adl_middleware,2.100387711025095,alire
272,alire272,usb_embedded,2.0997656248334997,alire
164,alire164,libzmq,2.0913409911539347,alire
83,alire83,gnatcoll_sql,2.0720410990938123,alire
175,alire175,matreshka_amf_dd,2.060959495121012,alire
122,alire122,langkit_support,2.051060069163026,alire
75,alire75,gnatcoll_gmp,2.051060069163026,alire
36,alire36,bbqueue,2.044742205886335,alire
288,alire288,xml_ez_out,2.0303942594334194,alire
248,alire248,si_units,2.0303942594334194,alire
127,alire127,libcanberra,2.0303942594334194,alire
135,alire135,libfuse,2.0303942594334194,alire
249,alire249,simple_components,2.0303942594334194,alire
142,alire142,libgsl,2.0303942594334194,alire
144,alire144,libhello,2.0303942594334194,alire
145,alire145,libhidapi,2.0303942594334194,alire
188,alire188,matreshka_sql,2.0303942594334194,alire
196,alire196,microbit_bsp,2.0303942594334194,alire
199,alire199,minisamd51_bsp,2.0303942594334194,alire
201,alire201,msys2_runtime,2.0303942594334194,alire
208,alire208,openssl,2.0303942594334194,alire
225,alire225,rclada,2.0303942594334194,alire
161,alire161,libusb,2.0303942594334194,alire
148,alire148,liblua,2.0303942594334194,alire
46,alire46,dcf,2.0303942594334194,alire
24,alire24,audio_base,2.0303942594334194,alire
37,alire37,blake2s,2.0303942594334194,alire
158,alire158,libsdl2_ttf,2.0297420565381405,alire
157,alire157,libsdl2_image,2.0297420565381405,alire
156,alire156,libsdl2,2.0297420565381405,alire
174,alire174,matreshka_amf,2.026533130530719,alire
246,alire246,sha2,2.0246214750027574,alire
245,alire245,sha1,2.0246214750027574,alire
137,alire137,libgmp,2.022043885914739,alire
21,alire21,asfml,2.0078863512136884,alire
116,alire116,lace_opengl,2.006883184949726,alire
117,alire117,lace_physics,2.006883184949726,alire
286,alire286,winpthreads,2.003863886825126,alire
215,alire215,pkg_config,2.003863886825126,alire
143,alire143,libgtk3,2.003863886825126,alire
213,alire213,pico_bsp,1.9905669343123276,alire
131,alire131,libexpat,1.9868973472101692,alire
182,alire182,matreshka_servlet,1.9752446533960943,alire
120,alire120,lace_xml,1.9694564799567027,alire
126,alire126,libbullet,1.9694564799567027,alire
5,alire5,ada_toml,1.969400590069711,alire
64,alire64,geste,1.969400590069711,alire
185,alire185,matreshka_spikedog_api,1.9405198380541315,alire
203,alire203,nrf5x_hal,1.9336234708215008,alire
150,alire150,libmesa,1.9256670831203269,alire
111,alire111,lace_collada,1.9256670831203269,alire
109,alire109,lace_bullet,1.9256670831203269,alire
107,alire107,lace,1.9256670831203269,alire
108,alire108,lace_box2d,1.9256670831203269,alire
256,alire256,spawn,1.924288371315491,alire
136,alire136,libglfw3,1.9002181065346813,alire
45,alire45,curl,1.9002181065346813,alire
4,alire4,ada_pretty,1.9002181065346813,alire
41,alire41,chests,1.9002181065346813,alire
