,:ID,PKG_NAME,PAGE_RANK,:LABEL
581,chromebrew581,py3_setuptools,2.9901792480130447,chromebrew
709,chromebrew709,py3_packaging,2.988420111156577,chromebrew
205,chromebrew205,glib,2.9108049818424577,chromebrew
465,chromebrew465,libx11,2.904066026239064,chromebrew
818,chromebrew818,zlibpkg,2.869253313520805,chromebrew
1576,chromebrew1576,musl_native_toolchain,2.860532904169025,chromebrew
407,chromebrew407,llvm,2.843119624413577,chromebrew
739,chromebrew739,xorg_proto,2.842932038617215,chromebrew
46,chromebrew46,sommelier,2.841216113959211,chromebrew
1512,chromebrew1512,ccache,2.8148479123159458,chromebrew
190,chromebrew190,xdg_base,2.805191296685248,chromebrew
1121,chromebrew1121,gobject_introspection,2.803181338712992,chromebrew
295,chromebrew295,jdk8,2.800787217155774,chromebrew
221,chromebrew221,ncurses,2.79821351769788,chromebrew
948,chromebrew948,libxslt,2.785191164285973,chromebrew
1825,chromebrew1825,gtk3,2.7802152008424743,chromebrew
346,chromebrew346,glibc,2.7779113565209026,chromebrew
907,chromebrew907,libxcb,2.7731781487898624,chromebrew
207,chromebrew207,py3_six,2.773009849386725,chromebrew
398,chromebrew398,zstd,2.75813881394666,chromebrew
123,chromebrew123,harfbuzz,2.753748991054605,chromebrew
433,chromebrew433,pcre,2.74751933506311,chromebrew
1336,chromebrew1336,util_linux,2.745881643535804,chromebrew
1783,chromebrew1783,python3,2.7416596318655904,chromebrew
648,chromebrew648,musl_zstd,2.740045109508165,chromebrew
1266,chromebrew1266,openssl,2.7339400417558606,chromebrew
1293,chromebrew1293,libgpgerror,2.726240557395292,chromebrew
1396,chromebrew1396,libsigsegv,2.7236221751241225,chromebrew
1211,chromebrew1211,eudev,2.723266977730159,chromebrew
1754,chromebrew1754,python2,2.7211364553972794,chromebrew
1466,chromebrew1466,libgcrypt,2.720006690220321,chromebrew
484,chromebrew484,readline,2.719294191385135,chromebrew
670,chromebrew670,libxml2,2.713050850443003,chromebrew
1254,chromebrew1254,py3_pygments,2.712508793463409,chromebrew
1219,chromebrew1219,util_macros,2.7109805578869186,chromebrew
397,chromebrew397,libcurl,2.708109365745795,chromebrew
311,chromebrew311,libffi,2.7057388842406875,chromebrew
1491,chromebrew1491,go,2.7053183987009275,chromebrew
1374,chromebrew1374,libxext,2.7053150052573605,chromebrew
692,chromebrew692,gcc12,2.703556237234931,chromebrew
437,chromebrew437,mesa,2.6983720558662485,chromebrew
1156,chromebrew1156,elfutils,2.685122776025493,chromebrew
1853,chromebrew1853,go_bootstrap,2.6814806052068048,chromebrew
1454,chromebrew1454,gcc,2.6800505921649034,chromebrew
1614,chromebrew1614,expat,2.675860300816959,chromebrew
1213,chromebrew1213,libjpeg,2.6733271704481414,chromebrew
254,chromebrew254,freetype,2.6729946086873504,chromebrew
1041,chromebrew1041,asciidoc,2.6715943227253462,chromebrew
1688,chromebrew1688,autoconf_archive,2.669884870069265,chromebrew
240,chromebrew240,libxtrans,2.6631364218487463,chromebrew
1650,chromebrew1650,gtk_doc,2.6559681007366462,chromebrew
158,chromebrew158,help2man,2.653338545599617,chromebrew
597,chromebrew597,xorg_lib,2.645747990770611,chromebrew
1343,chromebrew1343,libxdmcp,2.6389415181996982,chromebrew
1686,chromebrew1686,docbook_xml,2.6362312365014744,chromebrew
1718,chromebrew1718,libmd,2.624065511959968,chromebrew
846,chromebrew846,wayland,2.6220145089841056,chromebrew
1214,chromebrew1214,gperf,2.616702420621908,chromebrew
631,chromebrew631,libpng,2.6088082152177767,chromebrew
977,chromebrew977,patch,2.608369845793104,chromebrew
1864,chromebrew1864,docbook_xsl,2.5902678573388647,chromebrew
424,chromebrew424,py3_libxml2,2.5881917320226875,chromebrew
1190,chromebrew1190,diffutils,2.5876221954512832,chromebrew
1339,chromebrew1339,libxfixes,2.577253961672067,chromebrew
1237,chromebrew1237,rust,2.5739106337641955,chromebrew
756,chromebrew756,linux_pam,2.57214705435303,chromebrew
1472,chromebrew1472,fontconfig,2.5709972606650595,chromebrew
901,chromebrew901,vala,2.569521229734211,chromebrew
858,chromebrew858,font_util,2.567126378561549,chromebrew
742,chromebrew742,qtbase,2.5642733319139106,chromebrew
679,chromebrew679,xmlcatmgr,2.5619260116295672,chromebrew
336,chromebrew336,libnl3,2.552541459575551,chromebrew
1801,chromebrew1801,libdb,2.552447919806295,chromebrew
888,chromebrew888,bz2,2.548216882819301,chromebrew
1568,chromebrew1568,cairo,2.5444790338177805,chromebrew
1443,chromebrew1443,texinfo,2.537362524865956,chromebrew
710,chromebrew710,xorg_server,2.5299523415102083,chromebrew
478,chromebrew478,pango,2.5294222115878897,chromebrew
1615,chromebrew1615,php74,2.5293526270587705,chromebrew
1060,chromebrew1060,shared_mime_info,2.5283756066384515,chromebrew
25,chromebrew25,hashpipe,2.523011422387417,chromebrew
1189,chromebrew1189,graphite,2.5188487481077297,chromebrew
234,chromebrew234,libbsd,2.51750558496028,chromebrew
1256,chromebrew1256,icu4c,2.5115775500002377,chromebrew
1667,chromebrew1667,m4,2.5069146541333027,chromebrew
682,chromebrew682,gtk2,2.506506830607357,chromebrew
414,chromebrew414,gawk,2.5019394464396907,chromebrew
1445,chromebrew1445,gmp,2.4995858410719958,chromebrew
962,chromebrew962,perl,2.498309295324049,chromebrew
1725,chromebrew1725,dbus,2.488209830495362,chromebrew
1756,chromebrew1756,alsa_lib,2.481772521923731,chromebrew
1279,chromebrew1279,mkfontscale,2.4766833056859827,chromebrew
1010,chromebrew1010,libxfont,2.4748910725252595,chromebrew
415,chromebrew415,libusb,2.4741577536829022,chromebrew
104,chromebrew104,gettext,2.473454588145681,chromebrew
384,chromebrew384,libpcap,2.473188995074538,chromebrew
450,chromebrew450,libxrender,2.468934339812104,chromebrew
63,chromebrew63,tcl,2.468709390423987,chromebrew
1007,chromebrew1007,bdftopcf,2.462819718260827,chromebrew
734,chromebrew734,xzutils,2.460590885333699,chromebrew
