,:ID,PKG_NAME,PAGE_RANK,:LABEL
2723,clojars2723,clj-http,2.995903772627261,clojars
2091,clojars2091,cheshire,2.9958543249862792,clojars
13482,clojars13482,joda-time,2.993273684140185,clojars
23762,clojars23762,potemkin,2.9925119151525497,clojars
3228,clojars3228,clj-time,2.9924692278447607,clojars
5746,clojars5746,com.fasterxml.jackson.core/jackson-core,2.991600019304872,clojars
6619,clojars6619,com.keminglabs/cljx,2.991095838079539,clojars
24906,clojars24906,ring/ring-core,2.990542382622773,clojars
27172,clojars27172,tigris,2.9899952420941656,clojars
25813,clojars25813,slingshot,2.9894863436818606,clojars
3948,clojars3948,cljsjs/react,2.9888899902717068,clojars
23840,clojars23840,prismatic/schema,2.9881313408258814,clojars
24726,clojars24726,riddley,2.9878602761198856,clojars
3604,clojars3604,cljsjs/boot-cljsjs,2.987801617294375,clojars
3251,clojars3251,clj-tuple,2.986486901728185,clojars
7568,clojars7568,com.taoensso/timbre,2.98621968864893,clojars
11671,clojars11671,hiccup,2.983245440553018,clojars
24436,clojars24436,reagent,2.983197613188972,clojars
5507,clojars5507,com.cemerick/clojurescript.test,2.9827454315789432,clojars
7526,clojars7526,com.stuartsierra/dependency,2.982253307219476,clojars
5514,clojars5514,com.cemerick/piggieback,2.982065467622012,clojars
15288,clojars15288,log4j,2.9818554097759757,clojars
8310,clojars8310,crouton,2.9799502350653886,clojars
11852,clojars11852,http-kit,2.979510993533093,clojars
7524,clojars7524,com.stuartsierra/component,2.978548011254264,clojars
24905,clojars24905,ring/ring-codec,2.9778729308736342,clojars
12364,clojars12364,instaparse,2.977357607045297,clojars
16850,clojars16850,net.cgrand/regex,2.9759563495313874,clojars
13713,clojars13713,junit,2.974757886330907,clojars
5503,clojars5503,com.cemerick/austin,2.973957887802421,clojars
24695,clojars24695,rewrite-clj,2.972961017053139,clojars
9941,clojars9941,environ,2.972640960755289,clojars
3965,clojars3965,cljsjs/react-dom,2.972553304954116,clojars
1700,clojars1700,camel-snake-kebab,2.972195342602669,clojars
2159,clojars2159,cider/cider-nrepl,2.970794149972978,clojars
22352,clojars22352,org.flatland/useful,2.9699795430125158,clojars
8062,clojars8062,compojure,2.9684667282507324,clojars
9944,clojars9944,environ/environ.core,2.968146631579633,clojars
7564,clojars7564,com.taoensso/nippy,2.967490476332138,clojars
16845,clojars16845,net.cgrand/macrovich,2.967443357451588,clojars
7562,clojars7562,com.taoensso/encore,2.967192868945381,clojars
15957,clojars15957,me.raynes/fs,2.967092368756344,clojars
17925,clojars17925,org.ccil.cowan.tagsoup/tagsoup,2.9667208814978148,clojars
24321,clojars24321,re-frame,2.966321738676032,clojars
9913,clojars9913,enlive,2.9661063958714786,clojars
5261,clojars5261,com.amazonaws/aws-java-sdk,2.965832503556596,clojars
8350,clojars8350,crypto-random,2.96557359646872,clojars
22960,clojars22960,org.tcrawley/dynapath,2.9640119707410864,clojars
23834,clojars23834,prismatic/cljs-test,2.9637579067598154,clojars
8346,clojars8346,crypto-equality,2.9636022656381176,clojars
3175,clojars3175,clj-stacktrace,2.963552171847032,clojars
10140,clojars10140,expectations,2.961961524687678,clojars
