,:ID,PKG_NAME,PAGE_RANK,:LABEL
1272,conan1272,zlib,2.974567996254006,conan
857,conan857,openssl,2.9193751183893,conan
93,conan93,boost,2.894646455538965,conan
576,conan576,libiconv,2.881012025681265,conan
108,conan108,bzip2,2.829699359581043,conan
380,conan380,glib,2.773431506374033,conan
279,conan279,eigen,2.7390098356046293,conan
582,conan582,libjpeg,2.7340755471356024,conan
614,conan614,libpng,2.719475220947467,conan
537,conan537,libcurl,2.7123535348119985,conan
798,conan798,nlohmann_json,2.702466221977219,conan
55,conan55,aws-c-common,2.6993274379858665,conan
846,conan846,opengl,2.698098121306757,conan
298,conan298,expat,2.688595636613711,conan
950,conan950,qt,2.687689142603164,conan
329,conan329,fmt,2.656742300103588,conan
523,conan523,libbacktrace,2.636240396056252,conan
387,conan387,gmp,2.625397983266028,conan
1276,conan1276,zstd,2.6034055204798623,conan
1072,conan1072,sqlite3,2.600838420819345,conan
1242,conan1242,xorg,2.594312374008136,conan
661,conan661,libusb,2.5791049837624764,conan
675,conan675,libxml2,2.578340744543346,conan
827,conan827,ogg,2.5684454223599094,conan
709,conan709,m4,2.5491381437015765,conan
338,conan338,freetype,2.549054124316054,conan
704,conan704,lz4,2.5407404722886597,conan
931,conan931,protobuf,2.524168717451867,conan
1259,conan1259,xz_utils,2.509679566575489,conan
424,conan424,hdf5,2.506781365815125,conan
638,conan638,libsodium,2.504553624500369,conan
884,conan884,pcre2,2.5043805064908176,conan
1211,conan1211,vulkan-headers,2.501257223106649,conan
973,conan973,rapidjson,2.4984907823334304,conan
816,conan816,oatpp,2.4959229573095203,conan
1238,conan1238,xerces-c,2.4959229573095203,conan
650,conan650,libtiff,2.4937636949439628,conan
663,conan663,libuuid,2.4925468029985365,conan
883,conan883,pcre,2.477104749648937,conan
167,conan167,coin-utils,2.4691971366546555,conan
664,conan664,libuv,2.460333550933764,conan
747,conan747,miniz,2.4566741573111712,conan
615,conan615,libpq,2.4551667618026323,conan
1066,conan1066,spirv-headers,2.4432540017902835,conan
686,conan686,linux-headers-generic,2.4354435906519654,conan
310,conan310,fast_float,2.4313496692570595,conan
830,conan830,onetbb,2.4175883778393428,conan
1247,conan1247,xorg-proto,2.410797238967911,conan
317,conan317,fftw,2.408894332627312,conan
550,conan550,libelf,2.404980608638179,conan
1268,conan1268,zeromq,2.396963982346787,conan
1067,conan1067,spirv-tools,2.385329068883506,conan
453,conan453,imgui,2.357453096748364,conan
559,conan559,libffi,2.3436864536520736,conan
443,conan443,icu,2.3320350790836364,conan
687,conan687,linux-syscall-support,2.329684731209582,conan
410,conan410,gtk,2.3210076786667297,conan
366,conan366,getopt-for-visual-studio,2.318634948362478,conan
841,conan841,opencv,2.3107517652189653,conan
47,conan47,autoconf,2.309996983794621,conan
61,conan61,aws-c-io,2.308095689970053,conan
1022,conan1022,sdl,2.3009439053935394,conan
100,conan100,brotli,2.2984294748192458,conan
669,conan669,libwebp,2.2911933815895544,conan
1120,conan1120,termcap,2.2910785380909804,conan
1245,conan1245,xorg-macros,2.2910785380909804,conan
598,conan598,libmount,2.286290613147661,conan
633,conan633,libselinux,2.286290613147661,conan
844,conan844,openexr,2.285762300140416,conan
227,conan227,daw_header_libraries,2.280134655039012,conan
192,conan192,cppunit,2.268847584526921,conan
720,conan720,mapbox-variant,2.268847584526921,conan
761,conan761,mpfr,2.266229699125104,conan
555,conan555,libevent,2.249088541758145,conan
825,conan825,odbc,2.2442921810149388,conan
1063,conan1063,spdlog,2.239575599205221,conan
567,conan567,libgettext,2.2382347691212843,conan
1050,conan1050,snappy,2.2345222594015657,conan
54,conan54,aws-c-cal,2.234381562014288,conan
315,conan315,ffmpeg,2.22962668733847,conan
434,conan434,hiredis,2.2109120953384918,conan
197,conan197,cpuinfo,2.201286554687188,conan
166,conan166,coin-osi,2.1986832397030893,conan
363,conan363,geos,2.197979058007674,conan
109,conan109,c4core,2.197329437051585,conan
763,conan763,mpir,2.197329437051585,conan
225,conan225,date,2.197329437051585,conan
1148,conan1148,tinyxml2,2.1973073885606142,conan
515,conan515,libalsa,2.1967583663621024,conan
933,conan933,psimd,2.191292804373471,conan
1255,conan1255,xtl,2.190784729055746,conan
1113,conan1113,tcl,2.1877292489332025,conan
452,conan452,imath,2.180352352132837,conan
49,conan49,automake,2.180331715493544,conan
612,conan612,libpcap,2.1800030589286394,conan
408,conan408,gstreamer,2.177202087913205,conan
350,conan350,fxdiv,2.1750324819261846,conan
771,conan771,ms-gsl,2.1718937065279285,conan
837,conan837,opencl-headers,2.1664869882782494,conan
637,conan637,libsndfile,2.1590252306936497,conan
