,:ID,PKG_NAME,PAGE_RANK,:LABEL
1,fpm1,iso_varying_string,2.710228179280252,fpm
15,fpm15,vegetables,2.710228179280252,fpm
14,fpm14,strff,2.7041579907477558,fpm
24,fpm24,mctc-lib,2.44847109356278,fpm
25,fpm25,mstore,2.173413247761208,fpm
8,fpm8,M_msg,2.0064464798505908,fpm
10,fpm10,M_strings,1.935286051764384,fpm
41,fpm41,stdlib,1.935286051764384,fpm
37,fpm37,test-drive,1.935286051764384,fpm
27,fpm27,toml-f,1.8619258794400693,fpm
29,fpm29,M_CLI2,1.8071324656635213,fpm
31,fpm31,multicharge,1.7746866202986338,fpm
11,fpm11,M_time,1.757272440322779,fpm
9,fpm9,M_process,1.757272440322779,fpm
26,fpm26,s-dftd3,1.7142795323924396,fpm
30,fpm30,dftd4,1.7142795323924396,fpm
35,fpm35,neural-fortran,1.6439072658268898,fpm
40,fpm40,fftpack,1.6439072658268898,fpm
28,fpm28,M_CLI,1.6439072658268898,fpm
32,fpm32,finterp,1.6439072658268898,fpm
39,fpm39,tblite,1.6439072658268898,fpm
38,fpm38,nlopt-f,1.6439072658268898,fpm
33,fpm33,forlab,1.6439072658268898,fpm
36,fpm36,fpm,1.6439072658268898,fpm
34,fpm34,functional,1.6439072658268898,fpm
0,fpm0,datetime,1.6439072658268898,fpm
23,fpm23,mctc-gcp,1.6439072658268898,fpm
22,fpm22,fhash,1.6439072658268898,fpm
20,fpm20,pointsets,1.6439072658268898,fpm
19,fpm19,M_system,1.6439072658268898,fpm
18,fpm18,M_pixel,1.6439072658268898,fpm
17,fpm17,M_kracken95,1.6439072658268898,fpm
16,fpm16,M_draw,1.6439072658268898,fpm
13,fpm13,sqliteff,1.6439072658268898,fpm
12,fpm12,quaff,1.6439072658268898,fpm
7,fpm7,M_io,1.6439072658268898,fpm
6,fpm6,M_history,1.6439072658268898,fpm
5,fpm5,M_color,1.6439072658268898,fpm
4,fpm4,M_change,1.6439072658268898,fpm
3,fpm3,M_calculator,1.6439072658268898,fpm
2,fpm2,jsonff,1.6439072658268898,fpm
21,fpm21,M_escape,1.6439072658268898,fpm
