,:ID,PKG_NAME,PAGE_RANK,:LABEL
666,nimble666,unicodedb,2.943842632323143,nimble
359,nimble359,cligen,2.942882369786195,nimble
716,nimble716,regex,2.941498049435024,nimble
673,nimble673,nimgen,2.905502869226723,nimble
488,nimble488,stew,2.8848172494471696,nimble
957,nimble957,nimterop,2.8737231081788406,nimble
368,nimble368,nimcrypto,2.8417843025580827,nimble
204,nimble204,docopt,2.822248536680063,nimble
70,nimble70,c2nim,2.816214900787622,nimble
292,nimble292,zip,2.8051445302966638,nimble
82,nimble82,x11,2.7748086786366186,nimble
750,nimble750,httpbeast,2.7651500473085298,nimble
367,nimble367,asynctools,2.7540203084605106,nimble
600,nimble600,arraymancer,2.729818034632728,nimble
1495,nimble1495,zippy,2.7215902869792163,nimble
1639,nimble1639,unittest2,2.721491868157201,nimble
938,nimble938,treesitter,2.721165870612832,nimble
1440,nimble1440,hmisc,2.7136692895459915,nimble
824,nimble824,jsony,2.6968916714272453,nimble
104,nimble104,sdl2,2.694039023152436,nimble
56,nimble56,nake,2.672791051720652,nimble
45,nimble45,jester,2.6571687601818583,nimble
1000,nimble1000,npeg,2.655637092423961,nimble
921,nimble921,ws,2.627015708696099,nimble
684,nimble684,nimpy,2.6210535382551208,nimble
81,nimble81,cairo,2.619626449136391,nimble
278,nimble278,patty,2.616428735882876,nimble
311,nimble311,nimSHA2,2.6156091064000098,nimble
202,nimble202,compiler,2.610393793609906,nimble
320,nimble320,nimPNG,2.606987182106763,nimble
518,nimble518,stb_image,2.596504694020576,nimble
817,nimble817,vmath,2.589282438967228,nimble
254,nimble254,hmac,2.5891404570256875,nimble
83,nimble83,opengl,2.5880205161796512,nimble
80,nimble80,gtk2,2.570428984458487,nimble
179,nimble179,random,2.5625613672190357,nimble
369,nimble369,collections,2.561908900958484,nimble
703,nimble703,chroma,2.544776021665873,nimble
1066,nimble1066,illwill,2.5436274037666458,nimble
1132,nimble1132,bearssl,2.542459811937265,nimble
246,nimble246,msgpack4nim,2.5421142952542044,nimble
890,nimble890,argparse,2.5318196986429853,nimble
514,nimble514,stint,2.5277375169539376,nimble
252,nimble252,struct,2.516880506509071,nimble
529,nimble529,winim,2.5124741976929394,nimble
418,nimble418,nimblas,2.512030975575608,nimble
138,nimble138,opencl,2.5092571100168906,nimble
481,nimble481,chronos,2.493129166408022,nimble
659,nimble659,karax,2.4928090180352065,nimble
459,nimble459,isaac,2.490556511902588,nimble
823,nimble823,pixie,2.4822306469306405,nimble
1374,nimble1374,jesterwithplugins,2.478686967237542,nimble
1763,nimble1763,scraper,2.4745531567189065,nimble
276,nimble276,tempfile,2.4705059328366383,nimble
89,nimble89,sha1,2.469877285100006,nimble
892,nimble892,markdown,2.463589801371832,nimble
400,nimble400,nimboost,2.456928559935752,nimble
512,nimble512,testutils,2.4506410692277574,nimble
458,nimble458,uuids,2.444667949803006,nimble
1361,nimble1361,fusion,2.4348515266018143,nimble
1574,nimble1574,xam,2.433936173086849,nimble
478,nimble478,ranges,2.4330851342204887,nimble
87,nimble87,python,2.424096784822236,nimble
1435,nimble1435,wepoll,2.4218812798194125,nimble
387,nimble387,yaml,2.4216333579457534,nimble
203,nimble203,nre,2.418087042963841,nimble
826,nimble826,benchy,2.4129566633247,nimble
489,nimble489,faststreams,2.4118981069219343,nimble
735,nimble735,ast_pattern_matching,2.3987554595202845,nimble
482,nimble482,serialization,2.3899057047859245,nimble
1704,nimble1704,macroplus,2.380780879314233,nimble
290,nimble290,dbus,2.380780879314233,nimble
1408,nimble1408,flatty,2.380674961501957,nimble
593,nimble593,scram,2.37966942857524,nimble
123,nimble123,macroutils,2.378395403668953,nimble
134,nimble134,sdl2_nim,2.37697338499421,nimble
761,nimble761,packedjson,2.376015592235976,nimble
1112,nimble1112,sigv4,2.373104316447165,nimble
579,nimble579,nimlapack,2.372791571347664,nimble
257,nimble257,base32,2.371977816551957,nimble
411,nimble411,dotenv,2.368568136864624,nimble
201,nimble201,parsetoml,2.361939358439942,nimble
1670,nimble1670,special_functions,2.3535988295903683,nimble
1450,nimble1450,ioselectors,2.3460653605506026,nimble
43,nimble43,argument_parser,2.3327761335893924,nimble
188,nimble188,gmp,2.33058411312162,nimble
211,nimble211,jwt,2.3230644335884643,nimble
882,nimble882,result,2.317941765761356,nimble
671,nimble671,spryvm,2.316608084082819,nimble
124,nimble124,ansiparse,2.316608084082819,nimble
342,nimble342,values,2.316608084082819,nimble
852,nimble852,wNim,2.316608084082819,nimble
1024,nimble1024,imageman,2.316608084082819,nimble
366,nimble366,reactor,2.316608084082819,nimble
1319,nimble1319,webgui,2.316608084082819,nimble
483,nimble483,json_serialization,2.3131386729822805,nimble
870,nimble870,ndb,2.310645376794465,nimble
336,nimble336,nimfp,2.3072459231906635,nimble
86,nimble86,glm,2.301541924235456,nimble
1008,nimble1008,eastasianwidth,2.2977058935459143,nimble
