name,repository,pkg_mng
jwt,https://github.com/reznikmm/jwt,alire
xoshiro,https://github.com/onox/xoshiro,alire
play_2048,https://github.com/mgrojo/play_2048,alire
virtapu,https://github.com/Fabien-Chouteau/virtapu,alire
emojis,https://github.com/onox/emojis,alire
embedded_components,https://github.com/Fabien-Chouteau/embedded-components,alire
trendy_test,https://github.com/pyjarrett/trendy_test,alire
trendy_terminal,https://github.com/pyjarrett/trendy_terminal,alire
socketcan,https://github.com/glencornell/ada-socketcan,alire
nrf5x_hal,https://github.com/Fabien-Chouteau/nrf5x-hal,alire
openglada_images,https://github.com/flyx/OpenGLAda,alire
openglada_glfw,https://github.com/flyx/OpenGLAda,alire
openglada,https://github.com/flyx/OpenGLAda,alire
optional,https://github.com/mosteo/optional,alire
openglada_text,https://github.com/flyx/OpenGLAda,alire
rsfile,https://github.com/mosteo/rsfile,alire
felix,https://github.com/lkujaw/felix,alire
freetypeada,https://github.com/flyx/FreeTypeAda,alire
inotify,https://github.com/onox/inotify-ada,alire
cortex_m,https://github.com/Fabien-Chouteau/cortex-m,alire
tiled_code_gen,https://github.com/Fabien-Chouteau/tiled-code-gen,alire
tiny_text,https://github.com/JeremyGrosser/tiny_text,alire
tiny_rp2040_bsp,https://github.com/hgrodriguez/tiny_rp2040_bsp,alire
eeprom_i2c,https://github.com/hgrodriguez/eeprom_i2c,alire
lzmada,https://github.com/stcarrez/ada-lzma,alire
slip,https://gitlab.com/bmilanov/slip,alire
vss,https://github.com/AdaCore/VSS,alire
geste,https://github.com/Fabien-Chouteau/GESTE,alire
geste_examples,https://github.com/Fabien-Chouteau/GESTE-examples,alire
get_password,https://gitlab.com/my-ada-library/get_password,alire
clic,https://github.com/alire-project/clic,alire
usb_embedded,https://github.com/Fabien-Chouteau/usb_embedded,alire
hmac,https://github.com/AntonMeep/hmac,alire
c_strings,https://github.com/mosteo/cstrings,alire
toml_slicer,https://github.com/mosteo/toml_slicer,alire
fastpbkdf2_ada,https://github.com/AntonMeep/fastpbkdf2_ada,alire
raspberry_bsp,https://github.com/TamaMcGlinn/ada_raspio,alire
ado,https://github.com/stcarrez/ada-ado,alire
ado_postgresql,https://github.com/stcarrez/ada-ado,alire
ada_fuse,https://github.com/medsec/ada-fuse,alire
ada_toml,https://github.com/pmderodat/ada-toml,alire
ada_lua,https://github.com/AdaCore/ada-lua,alire
ada_voxel_space_demo,https://github.com/Fabien-Chouteau/ada-voxel-space-demo,alire
ada_pretty,https://github.com/reznikmm/ada-pretty,alire
adabots,https://github.com/TamaMcGlinn/AdaBots,alire
ado_sqlite,https://github.com/stcarrez/ada-ado,alire
adayaml,https://github.com/yaml/AdaYaml,alire
ada_language_server,https://github.com/AdaCore/ada_language_server,alire
adl_middleware,https://github.com/Fabien-Chouteau/adl-middleware,alire
aflex,https://github.com/Ada-France/aflex,alire
evdev,https://github.com/onox/evdev-ada,alire
zipdcf,https://github.com/onox/dcf-ada,alire
zipada,https://github.com/mosteo/zip-ada,alire
lvgl_ada,https://github.com/Fabien-Chouteau/lvgl-ada,alire
lvgl_ada_examples,https://github.com/Fabien-Chouteau/lvgl-ada-examples,alire
lvgl_ada_simulator,https://github.com/Fabien-Chouteau/lvgl-ada-simulator,alire
ansiada,https://github.com/mosteo/ansi-ada,alire
anagram,https://github.com/reznikmm/anagram,alire
hello,https://github.com/alire-project/hello,alire
lace_shared,https://github.com/charlie5/lace-alire,alire
lace_collada,https://github.com/charlie5/lace-alire,alire
lace_gel,https://github.com/charlie5/lace-alire,alire
lace_math,https://github.com/charlie5/lace-alire,alire
lace_swig,https://github.com/charlie5/lace-alire,alire
lace_gel_full_demo,https://github.com/charlie5/lace-alire,alire
lace,https://github.com/charlie5/lace-alire,alire
lace_xml,https://github.com/charlie5/lace-alire,alire
lace_physics,https://github.com/charlie5/lace-alire,alire
langkit_support,https://github.com/AdaCore/langkit,alire
lace_c_math,https://github.com/charlie5/lace-alire,alire
lal_highlight,https://github.com/AdaCore/libadalang,alire
lace_box2d,https://github.com/charlie5/lace-alire,alire
lace_opengl,https://github.com/charlie5/lace-alire,alire
lace_gel_animation_demo,https://github.com/charlie5/lace-alire,alire
lace_bullet,https://github.com/charlie5/lace-alire,alire
uri_ada,https://github.com/mosteo/uri-ada,alire
rclada_examples,https://github.com/ada-ros/rclada_examples_alire,alire
rclada,https://github.com/ada-ros/rclada_alire,alire
matreshka_sql,https://github.com/reznikmm/matreshka-alire,alire
matreshka_sql_mysql,https://github.com/reznikmm/matreshka-alire,alire
matreshka_spikedog_api,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf_uml,https://github.com/reznikmm/matreshka-alire,alire
matreshka_xml,https://github.com/reznikmm/matreshka-alire,alire
matreshka_sql_firebird,https://github.com/reznikmm/matreshka-alire,alire
matreshka_sql_sqlite3,https://github.com/reznikmm/matreshka-alire,alire
matreshka_servlet,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf_ocl,https://github.com/reznikmm/matreshka-alire,alire
matreshka_soap,https://github.com/reznikmm/matreshka-alire,alire
matreshka_spikedog_awsd,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf_utp,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf_mofext,https://github.com/reznikmm/matreshka-alire,alire
matreshka_sql_postgresql,https://github.com/reznikmm/matreshka-alire,alire
mandelbrot_ascii,https://github.com/mosteo/mandelbrot_ascii,alire
matreshka_soap_wsse,https://github.com/reznikmm/matreshka-alire,alire
matreshka_spikedog_core,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf,https://github.com/reznikmm/matreshka-alire,alire
matreshka_fastcgi,https://github.com/reznikmm/matreshka-alire,alire
matreshka_sql_oracle,https://github.com/reznikmm/matreshka-alire,alire
matreshka_amf_dd,https://github.com/reznikmm/matreshka-alire,alire
chests,https://github.com/JeremyGrosser/chests,alire
parse_args,https://github.com/jhumphry/parse_args,alire
partord,https://gitlab.com/my-ada-library/partord,alire
dir_iterators,https://github.com/pyjarrett/dir_iterators,alire
system_random,https://github.com/AntonMeep/system_random,alire
xia,https://github.com/simonjwright/xia,alire
rxada,https://github.com/mosteo/rxada,alire
dependency_graph_extractor,https://github.com/TNO/Dependency_Graph_Extractor-Ada,alire
yeison,https://github.com/mosteo/yeison,alire
wikiada,https://github.com/stcarrez/ada-wiki,alire
win32ada,https://github.com/AdaCore/win32ada,alire
sdlada,https://github.com/alire-project/sdlada,alire
rp2040_hal,https://github.com/JeremyGrosser/rp2040_hal,alire
qoi,https://github.com/Fabien-Chouteau/qoi-spark,alire
pygamer_bsp,https://github.com/Fabien-Chouteau/pygamer-bsp,alire
pygamer_simulator,https://github.com/Fabien-Chouteau/pygamer-simulator,alire
gtkada,https://github.com/AdaCore/gtkada,alire
aicwl,https://github.com/HeisenbugLtd/aicwl,alire
keystoreada,https://github.com/stcarrez/ada-keystore,alire
dcf,https://github.com/onox/dcf-ada,alire
hal,https://github.com/Fabien-Chouteau/hal,alire
hangman,https://github.com/alire-project/Hangman,alire
libadalang,https://github.com/AdaCore/libadalang,alire
libadalang_tools,https://github.com/AdaCore/libadalang-tools,alire
libgpr,https://github.com/AdaCore/gprbuild,alire
littlefs,https://github.com/Fabien-Chouteau/littlefs-ada,alire
libhello,https://github.com/alire-project/libhello,alire
epoll,https://github.com/JeremyGrosser/epoll-ada,alire
elada,https://github.com/stcarrez/ada-el,alire
gnatcoll_sqlite,https://github.com/AdaCore/gnatcoll-db,alire
gnatcoll_syslog,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_postgres,https://github.com/AdaCore/gnatcoll-db,alire
gnatcoll_python,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_lzma,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_xref,https://github.com/AdaCore/gnatcoll-db,alire
gnatcoll_iconv,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_python3,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll,https://github.com/AdaCore/gnatcoll-core,alire
gnatcoll_gmp,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_readline,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_sql,https://github.com/AdaCore/gnatcoll-db,alire
gnatcoll_omp,https://github.com/AdaCore/gnatcoll-bindings,alire
gnatcoll_zlib,https://github.com/AdaCore/gnatcoll-bindings,alire
json,https://github.com/onox/json-ada,alire
uxstrings,https://github.com/Blady-Com/UXStrings,alire
eagle_lander,https://github.com/Fabien-Chouteau/eagle-lander,alire
