name,repository,pkg_mng
vdev,https://github.com/jcnelson/vdev,chromebrew
py2_six,https://github.com/benjaminp/six,chromebrew
wavpack,https://github.com/dbry/WavPack,chromebrew
gsettings_desktop_schemas,https://gitlab.gnome.org/GNOME/gsettings-desktop-schemas,chromebrew
civetweb,https://github.com/civetweb/civetweb,chromebrew
libmatroska,https://github.com/Matroska-Org/libmatroska,chromebrew
codelite,https://github.com/eranif/codelite,chromebrew
intel_media_sdk,https://github.com/Intel-Media-SDK/MediaSDK,chromebrew
trousers,https://github.com/Intel-Media-SDK/MediaSDK,chromebrew
gnome_online_accounts,https://github.com/Intel-Media-SDK/MediaSDK,chromebrew
keychain,https://github.com/funtoo/keychain,chromebrew
sommelier,https://github.com/chromebrew/crew-package-sommelier,chromebrew
fetch,https://github.com/jrmarino/fetch-freebsd,chromebrew
lha,https://github.com/jca02266/lha,chromebrew
py3_docx2txt,https://github.com/ankushshah89/python-docx2txt,chromebrew
tk,https://github.com/ankushshah89/python-docx2txt,chromebrew
oc,https://github.com/openshift/origin,chromebrew
geany_plugins,https://github.com/geany/geany-plugins,chromebrew
diskscan,https://github.com/baruch/diskscan,chromebrew
exo,https://github.com/baruch/diskscan,chromebrew
prometheus_cpp,https://github.com/jupp0r/prometheus-cpp,chromebrew
chromaprint,https://github.com/acoustid/chromaprint,chromebrew
re2c,https://github.com/skvadrik/re2c,chromebrew
py3_argcomplete,https://github.com/kislyuk/argcomplete,chromebrew
textract,https://github.com/deanmalmgren/textract,chromebrew
pkgconf,https://github.com/pkgconf/pkgconf,chromebrew
flutter,https://github.com/flutter/flutter,chromebrew
github_release,https://github.com/aktau/github-release,chromebrew
nconvert,https://github.com/aktau/github-release,chromebrew
evince,https://gitlab.gnome.org/GNOME/evince,chromebrew
vte,https://gitlab.gnome.org/GNOME/vte,chromebrew
stellarium,https://github.com/Stellarium/stellarium,chromebrew
argon2,https://github.com/P-H-C/phc-winner-argon2,chromebrew
mtools,https://github.com/P-H-C/phc-winner-argon2,chromebrew
gettext,https://github.com/P-H-C/phc-winner-argon2,chromebrew
libportal,https://github.com/flatpak/libportal,chromebrew
speedtest_cli,https://github.com/sivel/speedtest-cli,chromebrew
leiningen,https://github.com/technomancy/leiningen,chromebrew
benchmark,https://github.com/google/benchmark,chromebrew
cargo_c,https://github.com/lu-zero/cargo-c,chromebrew
libmicrodns,https://github.com/videolabs/libmicrodns,chromebrew
harfbuzz,https://github.com/harfbuzz/harfbuzz,chromebrew
py3_babel,https://github.com/python-babel/babel,chromebrew
which,https://carlowood.github.io/which/which-2.21.tar.gz,chromebrew
py3_py,https://github.com/pytest-dev/py,chromebrew
wl_clipboard,https://github.com/bugaevc/wl-clipboard,chromebrew
whois,https://github.com/rfc1036/whois,chromebrew
py3_keyring,https://github.com/jaraco/keyring,chromebrew
fd,https://github.com/sharkdp/fd,chromebrew
gdk_pixbuf,https://gitlab.gnome.org/GNOME/gdk-pixbuf,chromebrew
glide,https://github.com/Masterminds/glide,chromebrew
dia,https://github.com/GNOME/dia,chromebrew
dart,https://github.com/GNOME/dia,chromebrew
cmus,https://github.com/cmus/cmus,chromebrew
py3_ldapdomaindump,https://github.com/dirkjanm/ldapdomaindump,chromebrew
mysqltuner,https://github.com/major/MySQLTuner-perl,chromebrew
py3_secretstorage,https://github.com/mitya57/secretstorage,chromebrew
libspng,https://gitlab.com/randy408/libspng/uploads/3d980bac86c51368f40af2f1ac79a057/libspng-0.5.0.tar.xz,chromebrew
cros_resize,https://raw.githubusercontent.com/ethanmad/chromeos-resize/6b01b71f649dbf77b2e6ac932e8ad868e8272250/cros-resize.sh,chromebrew
gvfs,https://gitlab.gnome.org/GNOME/gvfs,chromebrew
py3_cryptography,https://github.com/pyca/cryptography,chromebrew
docbook_xml50,https://github.com/pyca/cryptography,chromebrew
libsecret,https://github.com/GNOME/libsecret,chromebrew
chromebrew_scripts,https://github.com/uberhacker/chromebrew-scripts,chromebrew
healthcheck,https://github.com/SimplyLinuxFAQ/health-check-script,chromebrew
lv2,https://github.com/lv2/lv2,chromebrew
autosetup,https://github.com/msteveb/autosetup,chromebrew
snooze,https://github.com/chneukirchen/snooze,chromebrew
libchamplain,https://github.com/chneukirchen/snooze,chromebrew
py3_olefile,https://github.com/decalage2/olefile,chromebrew
libical,https://github.com/libical/libical,chromebrew
github_desktop,https://github.com/shiftkey/desktop,chromebrew
itstool,https://github.com/itstool/itstool,chromebrew
librespot,https://github.com/librespot-org/librespot,chromebrew
c_ares,https://github.com/c-ares/c-ares,chromebrew
