name,repository,pkg_mng
libdatetime,https://github.com/wavebitscientific/datetime-fortran,fpm
datetime,https://github.com/wavebitscientific/datetime-fortran,fpm
iso_varying_string,https://gitlab.com/everythingfunctional/iso_varying_string,fpm
jsonff,https://gitlab.com/everythingfunctional/jsonff,fpm
M_calculator,https://github.com/urbanjost/M_calculator,fpm
M_match,https://github.com/urbanjost/M_change,fpm
M_color,https://github.com/urbanjost/M_color,fpm
M_history,https://github.com/urbanjost/M_history,fpm
M_io,https://github.com/urbanjost/M_io,fpm
M_msg,https://github.com/urbanjost/M_msg,fpm
M_process,https://github.com/urbanjost/M_process,fpm
M_strings,https://github.com/urbanjost/M_strings,fpm
M_time,https://github.com/urbanjost/M_time,fpm
quaff,https://gitlab.com/everythingfunctional/quaff,fpm
sqliteff,https://gitlab.com/everythingfunctional/sqliteff,fpm
strff,https://gitlab.com/everythingfunctional/strff,fpm
vegetables,https://gitlab.com/everythingfunctional/vegetables,fpm
M_draw,https://github.com/urbanjost/M_draw,fpm
M_kracken95,https://github.com/urbanjost/M_kracken95,fpm
M_pixel,https://github.com/urbanjost/M_pixel,fpm
M_system,https://github.com/urbanjost/M_system,fpm
pointsets,https://github.com/arjenmarkus/pointsets,fpm
M_escape,https://github.com/urbanjost/M_escape,fpm
fhash,https://github.com/LKedward/fhash,fpm
mctc-gcp,https://github.com/grimme-lab/gcp,fpm
mctc-lib,https://github.com/grimme-lab/mctc-lib,fpm
mstore,https://github.com/grimme-lab/mstore,fpm
s-dftd3,https://github.com/awvwgk/simple-dftd3,fpm
toml-f,https://github.com/toml-f/toml-f,fpm
M_CLI,https://github.com/urbanjost/M_CLI,fpm
M_CLI2,https://github.com/urbanjost/M_CLI2,fpm
dftd4,https://github.com/dftd4/dftd4,fpm
multicharge,https://github.com/grimme-lab/multicharge,fpm
finterp,https://github.com/jacobwilliams/finterp,fpm
forlab,https://github.com/zoziha/forlab,fpm
functional,https://github.com/wavebitscientific/functional-fortran,fpm
neural-fortran,https://github.com/modern-fortran/neural-fortran,fpm
fpm,https://github.com/fortran-lang/fpm,fpm
test-drive,https://github.com/awvwgk/test-drive,fpm
nlopt-f,https://github.com/grimme-lab/nlopt-f,fpm
tblite,https://github.com/awvwgk/tblite,fpm
fftpack,https://github.com/fortran-lang/fftpack,fpm
stdlib,https://github.com/fortran-lang/stdlib,fpm
