name,repository,pkg_mng
abcm2ps,https://github.com/leesavide/abcm2ps,homebrew
abduco,https://github.com/martanne/abduco,homebrew
abi-compliance-checker,https://github.com/lvc/abi-compliance-checker,homebrew
abi-dumper,https://github.com/lvc/abi-dumper,homebrew
abricate,https://github.com/tseemann/abricate,homebrew
abseil,https://github.com/abseil/abseil-cpp,homebrew
abyss,https://github.com/bcgsc/abyss,homebrew
ace,https://github.com/DOCGroup/ACE_TAO,homebrew
aces_container,https://github.com/ampas/aces_container,homebrew
acl2,https://github.com/acl2/acl2,homebrew
acmetool,https://github.com/hlandau/acmetool,homebrew
act,https://github.com/nektos/act,homebrew
actionlint,https://github.com/rhysd/actionlint,homebrew
adios2,https://github.com/ornladios/ADIOS2,homebrew
admesh,https://github.com/admesh/admesh,homebrew
adplug,https://github.com/adplug/adplug,homebrew
adr-tools,https://github.com/npryce/adr-tools,homebrew
advancecomp,https://github.com/amadvance/advancecomp,homebrew
advancemame,https://github.com/amadvance/advancemame,homebrew
advancescan,https://github.com/amadvance/advancescan,homebrew
afflib,https://github.com/sshock/AFFLIBv3,homebrew
afio,https://github.com/kholtman/afio,homebrew
afl-fuzz,https://github.com/google/AFL,homebrew
afsctool,https://github.com/RJVB/afsctool,homebrew
age,https://github.com/FiloSottile/age,homebrew
age-plugin-yubikey,https://github.com/str4d/age-plugin-yubikey,homebrew
aha,https://github.com/theZiz/aha,homebrew
ahoy,https://github.com/ahoy-cli/ahoy,homebrew
aide,https://github.com/aide/aide,homebrew
airspy,https://github.com/airspy/airspyone_host,homebrew
airspyhf,https://github.com/airspy/airspyhf,homebrew
akamai,https://github.com/akamai/cli,homebrew
alda,https://github.com/alda-lang/alda,homebrew
alembic,https://github.com/alembic/alembic,homebrew
alerter,https://github.com/vjeantet/alerter,homebrew
alexjs,https://github.com/get-alex/alex,homebrew
algernon,https://github.com/xyproto/algernon,homebrew
aliddns,https://github.com/OpenIoTHub/aliddns,homebrew
aliyun-cli,https://github.com/aliyun/aliyun-cli,homebrew
allegro,https://github.com/liballeg/allegro5,homebrew
alot,https://github.com/pazz/alot,homebrew
alp,https://github.com/tkuchiki/alp,homebrew
alpscore,https://github.com/ALPSCore/ALPSCore,homebrew
amazon-ecs-cli,https://github.com/aws/amazon-ecs-cli,homebrew
amfora,https://github.com/makeworld-the-better-one/amfora,homebrew
ammonite-repl,https://github.com/com-lihaoyi/Ammonite,homebrew
amp,https://github.com/jmacdonald/amp,homebrew
ampl-mp,https://github.com/ampl/mp,homebrew
amqp-cpp,https://github.com/CopernicaMarketingSoftware/AMQP-CPP,homebrew
amtk,https://gitlab.gnome.org/swilmet/amtk,homebrew
angband,https://github.com/angband/angband,homebrew
angle-grinder,https://github.com/rcoh/angle-grinder,homebrew
ansible-cmdb,https://github.com/fboender/ansible-cmdb,homebrew
ansilove,https://github.com/ansilove/ansilove,homebrew
ansiweather,https://github.com/fcambus/ansiweather,homebrew
antibody,https://github.com/getantibody/antibody,homebrew
antigen,https://github.com/zsh-users/antigen,homebrew
anycable-go,https://github.com/anycable/anycable-go,homebrew
anyenv,https://github.com/anyenv/anyenv,homebrew
apache-brooklyn-cli,https://github.com/apache/brooklyn-client,homebrew
apib,https://github.com/apigee/apib,homebrew
apibuilder-cli,https://github.com/apicollective/apibuilder-cli,homebrew
apidoc,https://github.com/apidoc/apidoc,homebrew
apktool,https://github.com/iBotPeaches/Apktool,homebrew
apm-bash-completion,https://github.com/vigo/apm-bash-completion,homebrew
apngasm,https://github.com/apngasm/apngasm,homebrew
appscale-tools,https://github.com/AppScale/appscale-tools,homebrew
appstream-glib,https://github.com/hughsie/appstream-glib,homebrew
apt-dater,https://github.com/DE-IBH/apt-dater,homebrew
aptly,https://github.com/aptly-dev/aptly,homebrew
arabica,https://github.com/jezhiggins/arabica,homebrew
aravis,https://github.com/AravisProject/aravis,homebrew
arb,https://github.com/fredrik-johansson/arb,homebrew
arcade-learning-environment,https://github.com/mgbellemare/Arcade-Learning-Environment,homebrew
archey,https://github.com/obihann/archey-osx,homebrew
archi-steam-farm,https://github.com/JustArchiNET/ArchiSteamFarm,homebrew
archiver,https://github.com/mholt/archiver,homebrew
arduino-cli,https://github.com/arduino/arduino-cli,homebrew
argo,https://github.com/argoproj/argo-workflows,homebrew
argocd,https://github.com/argoproj/argo-cd,homebrew
argocd-autopilot,https://github.com/argoproj-labs/argocd-autopilot,homebrew
argocd-vault-plugin,https://github.com/argoproj-labs/argocd-vault-plugin,homebrew
argon2,https://github.com/P-H-C/phc-winner-argon2,homebrew
aria2,https://github.com/aria2/aria2,homebrew
arkade,https://github.com/alexellis/arkade,homebrew
armor,https://github.com/labstack/armor,homebrew
arp-scan,https://github.com/royhills/arp-scan,homebrew
arpack,https://github.com/opencollab/arpack-ng,homebrew
arping,https://github.com/ThomasHabets/arping,homebrew
arrayfire,https://github.com/arrayfire/arrayfire,homebrew
arturo,https://github.com/arturo-lang/arturo,homebrew
as-tree,https://github.com/jez/as-tree,homebrew
asciidoctor,https://github.com/asciidoctor/asciidoctor,homebrew
asdf,https://github.com/asdf-vm/asdf,homebrew
asimov,https://github.com/stevegrunwell/asimov,homebrew
asn1c,https://github.com/vlm/asn1c,homebrew
aspcud,https://github.com/potassco/aspcud,homebrew
aspectj,https://github.com/eclipse/org.aspectj,homebrew
asroute,https://github.com/stevenpack/asroute,homebrew
assh,https://github.com/moul/assh,homebrew
assimp,https://github.com/assimp/assimp,homebrew
astrometry-net,https://github.com/dstndstn/astrometry.net,homebrew
asyncplusplus,https://github.com/Amanieu/asyncplusplus,homebrew
atari800,https://github.com/atari800/atari800,homebrew
atf,https://github.com/jmmv/atf,homebrew
atlantis,https://github.com/runatlantis/atlantis,homebrew
atlas,https://github.com/ariga/atlas,homebrew
atmos,https://github.com/cloudposse/atmos,homebrew
atomicparsley,https://github.com/wez/atomicparsley,homebrew
atop,https://github.com/Atoptool/atop,homebrew
atuin,https://github.com/ellie/atuin,homebrew
auditbeat,https://github.com/elastic/beats,homebrew
augustus,https://github.com/Gaius-Augustus/Augustus,homebrew
aurora,https://github.com/xuri/aurora,homebrew
austin,https://github.com/P403n1x87/austin,homebrew
authoscope,https://github.com/kpcyrd/authoscope,homebrew
autodiff,https://github.com/autodiff/autodiff,homebrew
autoenv,https://github.com/hyperupcall/autoenv,homebrew
autojump,https://github.com/wting/autojump,homebrew
autorestic,https://github.com/cupcakearmy/autorestic,homebrew
avahi,https://github.com/lathiat/avahi,homebrew
avra,https://github.com/Ro5bert/avra,homebrew
