name,repository,pkg_mng
30log,https://github.com/Yonaba/30log,luarocks
3rd-party-oauth,github.com/akarmazyn/3rd-party-oauth,luarocks
abelhas,https://github.com/downloads/ittner/abelhas/abelhas-1.1.tar.gz,luarocks
ab-microsensor,github.com/ArecaBay/kong-plugin-ab-microsensor,luarocks
AbsTK,https://github.com/PedroAlvesV/AbsTK-Lua,luarocks
accessor,github.com/Tieske/accessor.lua,luarocks
access-token-introspection,https://github.com/VentaApps/kong-token-introspection,luarocks
AC-ClientOutput,https://github.com/wesen1/AC-ClientOutput,luarocks
AC-LuaServer,https://github.com/wesen1/AC-LuaServer,luarocks
act,gitrec://github.com/mah0x211/lua-act,luarocks
ActiveLua-LearningTool,github.com/seba1/ActiveLua,luarocks
adal-lua,github.com/alexeldeib/adal-lua,luarocks
add,github.com/ahmadrosid/add,luarocks
ads1015,https://github.com/nubix-io/lua-ads1015,luarocks
adt.lua,github.com/nymphium/adt.lua,luarocks
adxl345,https://github.com/nubix-io/lua-adxl345,luarocks
aes_everywhere,https://github.com/mervick/aes-everywhere,luarocks
AesFileEncrypt,https://github.com/moteus/lua-AesFileEncrypt,luarocks
ai,gitlab.com/gWOLF3/bitproxy,luarocks
alfons,github.com/daelvn/alfons,luarocks
Alien,github.com/mascarenhas/alien,luarocks
alive,github.com/s-ol/alive,luarocks
allonet,github.com/alloverse/allonet,luarocks
alnbox,github.com/npge/alnbox,luarocks
altdoc,github.com/daelvn/altdoc,luarocks
alt-getopt,https://github.com/cheusov/lua-alt-getopt,luarocks
amalg,github.com/siffiejoe/lua-amalg,luarocks
amalg-redis,https://gitlab.com/megalithic-llc/lua-amalg-redis/-,luarocks
amqp,github.com/cybermaggedon/amqp,luarocks
amqp-client,github.com/gsdenys/amqp-client,luarocks
amqp-client-rpc,github.com/helmutb82/amqp-client,luarocks
annotate,github.com/siffiejoe/lua-annotate,luarocks
annoy,github.com/spotify/annoy,luarocks
ansicolors,https://github.com/kikito/ansicolors.lua,luarocks
ansikit,github.com/daelvn/ansikit,luarocks
ao,github.com/TheLinx/lao,luarocks
api7-dkjson,github.com/api7/test-toolkit,luarocks
api7-lua-protobuf,github.com/api7/lua-protobuf,luarocks
api7-lua-resty-http,github.com/api7/lua-resty-http,luarocks
api7-lua-tinyyaml,github.com/api7/lua-tinyyaml,luarocks
api7-snowflake,github.com/api7/lua-snowflake,luarocks
APIcast,https://github.com/3scale/apicast,luarocks
apicast-cli,github.com/3scale/apicast-cli,luarocks
apidemo,github.com/tylerneylon/lua_api_demo,luarocks
api-gateway-request-validation,github.com/adobe-apiplatform/api-gateway-request-validation,luarocks
APIOAK,github.com/apioak/apioak,luarocks
Apache APISIX,github.com/apache/apisix,luarocks
app_scheduler,https://github.com/lalawue/app_scheduler,luarocks
arc4random,github.com/mikejsavage/lua-arc4random,luarocks
argcheck,github.com/geoffleyland/argcheck,luarocks
