name,repository,pkg_mng
netpbm,https://github.com/barcharcraz/nim-netpbm,nimble
parasound,https://github.com/paranim/parasound,nimble
nimassets,https://github.com/xmonader/nimassets,nimble
platformer,https://github.com/def-/nim-platformer,nimble
jestercookiemsgs,https://github.com/JohnAD/jestercookiemsgs,nimble
wiki2text,https://github.com/rspeer/wiki2text,nimble
rapid,https://github.com/liquid600pgm/rapid,nimble
timespec_get,https://github.com/Matceporial/nim-timespec_get,nimble
replim,https://github.com/gmshiba/replim,nimble
qt5_qtsql,https://github.com/philip-wernersbach/nim-qt5_qtsql,nimble
jsonob,https://github.com/cjxgm/jsonob,nimble
norman,https://github.com/moigagoo/norman,nimble
science,https://github.com/ruivieira/nim-science,nimble
nest,https://github.com/kedean/nest,nimble
pomTimer,https://github.com/MnlPhlp/pomTimer,nimble
audiodb,https://github.com/thechampagne/audiodb-nim,nimble
camelize,https://github.com/kixixixixi/camelize,nimble
gnu,https://github.com/tonogram/gnu,nimble
blake2,https://github.com/narimiran/blake2,nimble
sixense,https://github.com/nimious/sixense,nimble
vtable,https://github.com/codehz/nim-vtable,nimble
faststreams,https://github.com/status-im/nim-faststreams,nimble
listenbrainz,https://gitlab.com/tandy1000/listenbrainz-nim,nimble
mcresponse,https://github.com/abbeymart/mcresponse-nim,nimble
NimpleHTTPServer,https://github.com/Hydra820/NimpleHTTPServer,nimble
word2vec,https://github.com/treeform/word2vec,nimble
bearlibterminal,https://github.com/irskep/BearLibTerminal-Nim,nimble
syscall,https://github.com/def-/nim-syscall,nimble
webview,https://github.com/oskca/webview,nimble
constants,https://github.com/juancarlospaco/nim-constants,nimble
nimib,https://github.com/pietroppeter/nimib,nimble
vecio,https://github.com/emekoi/vecio.nim,nimble
xlsxio,https://github.com/jiiihpeeh/xlsxio-nim,nimble
nofi,https://github.com/ct-clmsn/nofi/,nimble
httpbeast,https://github.com/dom96/httpbeast,nimble
xdo,https://github.com/juancarlospaco/nim-xdo,nimble
gifwriter,https://github.com/rxi/gifwriter,nimble
nimgui,https://github.com/zacharycarter/nimgui,nimble
ffmpeg,https://github.com/momeemt/ffmpeg.nim,nimble
fastcgi,https://github.com/ba0f3/fastcgi.nim,nimble
ngxcmod,https://github.com/ba0f3/ngxcmod.nim,nimble
fletcher,https://github.com/Akito13/nim-fletcher,nimble
compactdict,https://github.com/LemonBoy/compactdict,nimble
perlin,https://github.com/Nycto/PerlinNim,nimble
reactor,https://github.com/zielmicha/reactor.nim,nimble
hpprint,https://github.com/haxscramper/hpprint,nimble
cassette,https://github.com/LemonBoy/cassette,nimble
web3,https://github.com/status-im/nim-web3,nimble
luna,https://github.com/smallfx/luna.nim,nimble
biscuits,https://github.com/achesak/nim-biscuits,nimble
fwrite,https://github.com/pdrb/nim-fwrite,nimble
anonimongo,https://github.com/mashingan/anonimongo,nimble
oblivion,https://github.com/sealmove/oblivion,nimble
playground,https://github.com/theduke/nim-playground,nimble
srt,https://github.com/achesak/nim-srt,nimble
polypbren,https://github.com/guibar64/polypbren,nimble
fasttext,https://github.com/bung87/fastText,nimble
denim_ui,https://github.com/nortero-code/denim-ui,nimble
shene,https://github.com/xflywind/shene,nimble
windy,https://github.com/treeform/windy,nimble
nwt,https://github.com/enthus1ast/nimWebTemplates,nimble
gamelight,https://github.com/dom96/gamelight,nimble
stringinterpolation,https://github.com/bluenote10/nim-stringinterpolation,nimble
keccak_tiny,https://github.com/status-im/nim-keccak-tiny,nimble
sequtils2,https://github.com/Michedev/sequtils2,nimble
csv,https://github.com/achesak/nim-csv,nimble
crap,https://github.com/icyphox/crap,nimble
notifishower,https://github.com/PMunch/notifishower,nimble
colorizeEcho,https://github.com/s3pt3mb3r/colorizeEcho,nimble
asciitext,https://github.com/Himujjal/asciitextNim,nimble
recaptcha,https://github.com/euantorano/recaptcha.nim,nimble
syslog,https://github.com/FedericoCeratto/nim-syslog,nimble
alsa,https://gitlab.com/eagledot/nim-alsa,nimble
networkutils,https://github.com/Q-Master/networkutils.nim,nimble
getr,https://github.com/jrfondren/getr-nim,nimble
dual,https://github.com/drjdn/nim_dual,nimble
spinny,https://github.com/Yardanico/spinny,nimble
myo,https://github.com/nimious/myo,nimble
rainbow,https://github.com/Willyboar/rainbow,nimble
special_functions,https://github.com/ayman-albaz/special-functions,nimble
ssostrings,https://github.com/planetis-m/ssostrings,nimble
nim_cjson,https://github.com/muxueqz/nim_cjson,nimble
nmi,https://github.com/jiro4989/nmi,nimble
nimpcre,https://github.com/genotrance/nimpcre,nimble
db_clickhouse,https://github.com/leonardoce/nim-clickhouse,nimble
libbacktrace,https://github.com/status-im/nim-libbacktrace,nimble
simple_parseopt,https://github.com/onelivesleft/simple_parseopt,nimble
boneIO,https://github.com/xyz32/boneIO,nimble
winregistry,https://github.com/miere43/nim-registry,nimble
binaryparse,https://github.com/PMunch/binaryparse,nimble
base64_decoder,https://github.com/momeemt/base64_cui,nimble
Echon,https://github.com/eXodiquas/Echon,nimble
nimrax,https://github.com/genotrance/nimrax,nimble
ternary_tree,https://github.com/calcit-lang/ternary-tree,nimble
morelogging,https://github.com/FedericoCeratto/nim-morelogging,nimble
dataUrl,https://github.com/thisago/dataUrl,nimble
xiaomi,https://github.com/ThomasTJdev/nim_xiaomi,nimble
hyperscript,https://github.com/schneiderfelipe/hyperscript,nimble
ballpark,https://github.com/Mihara/ballpark,nimble
nimi3status,https://github.com/FedericoCeratto/nimi3status,nimble
zip,https://github.com/nim-lang/zip,nimble
shared,https://github.com/genotrance/shared,nimble
latinize,https://github.com/AmanoTeam/Latinize,nimble
validator,https://github.com/Adeohluwa/validator,nimble
easy_bcrypt,https://github.com/Akito13/easy-bcrypt,nimble
pantry,https://github.com/ire4ever1190/pantry-nim,nimble
grab,https://github.com/metagn/grab,nimble
zlib,https://github.com/status-im/nim-zlib,nimble
cirru_parser,https://github.com/Cirru/parser.nim,nimble
arduino,https://github.com/markspanbroek/nim-arduino,nimble
scorper,https://github.com/bung87/scorper,nimble
ris,https://github.com/achesak/nim-ris,nimble
cppclass,https://github.com/sls1005/NimCPPClass,nimble
simpleot,https://github.com/markspanbroek/simpleot.nim,nimble
questionable,https://github.com/markspanbroek/questionable,nimble
blimp,https://gitlab.3dicc.com/gokr/blimp,nimble
grafanim,https://github.com/jamesalbert/grafanim,nimble
libnetfilter_queue,https://github.com/ba0f3/libnetfilter_queue.nim,nimble
pop3,https://github.com/FedericoCeratto/nim-pop3,nimble
genoiser,https://github.com/brentp/genoiser,nimble
nimates,https://github.com/jamesalbert/nimates,nimble
fuzzy,https://github.com/pigmej/fuzzy,nimble
argparse,https://github.com/iffy/nim-argparse,nimble
variantsugar,https://github.com/metagn/variantsugar,nimble
ws,https://github.com/treeform/ws,nimble
nimpy,https://github.com/yglukhov/nimpy,nimble
pipelines,https://github.com/calebwin/pipelines,nimble
closure_compiler,https://github.com/yglukhov/closure_compiler,nimble
drawim,https://github.com/GabrielLasso/drawim,nimble
notetxt,https://github.com/mrshu/nim-notetxt,nimble
unittest2,https://github.com/status-im/nim-unittest2,nimble
pokereval,https://github.com/jasonlu7/pokereval,nimble
persvector,https://github.com/PMunch/nim-persistent-vector,nimble
bluu,https://github.com/disruptek/bluu,nimble
foliant,https://github.com/foliant-docs/foliant-nim,nimble
csv2dbsrc,https://github.com/z-kk/csv2dbsrc,nimble
vkapi,https://github.com/Yardanico/nimvkapi,nimble
uri3,https://github.com/zendbit/nim.uri3,nimble
miniblink,https://github.com/lihf8515/miniblink,nimble
faker,https://github.com/jiro4989/faker,nimble
libffi,https://github.com/Araq/libffi,nimble
periapsisEngine,https://github.com/Periapsis-Studios/Periapsis-Engine,nimble
sbttl,https://github.com/hamidb80/sbttl,nimble
nimraylib_now,https://github.com/greenfork/nimraylib_now,nimble
maze,https://github.com/jiro4989/maze,nimble
mealdb,https://github.com/thechampagne/mealdb-nim,nimble
loony,https://github.com/shayanhabibi/loony,nimble
html5_canvas,https://gitlab.com/define-private-public/HTML5-Canvas-Nim,nimble
epub,https://github.com/achesak/nim-epub,nimble
imghdr,https://github.com/achesak/nim-imghdr,nimble
ratel,https://github.com/PMunch/ratel,nimble
zero_functional,https://github.com/zero-functional/zero-functional,nimble
minhash,https://github.com/bung87/minhash,nimble
seqmath,https://github.com/jlp765/seqmath,nimble
sodium,https://github.com/zielmicha/libsodium.nim,nimble
mcu_utils,https://github.com/EmbeddedNim/mcu_utils,nimble
pixie,https://github.com/treeform/pixie,nimble
nre,https://github.com/flaviut/nre,nimble
ur,https://github.com/JohnAD/ur,nimble
suffer,https://github.com/emekoi/suffer,nimble
polymers,https://github.com/rlipsc/polymers,nimble
psutil,https://github.com/juancarlospaco/psutil-nim,nimble
taskpools,https://github.com/status-im/nim-taskpools,nimble
uap,https://gitlab.com/artemklevtsov/nim-uap,nimble
zmq,https://github.com/nim-lang/nim-zmq,nimble
nimbluez,https://github.com/Electric-Blue/NimBluez,nimble
bson,https://github.com/JohnAD/bson,nimble
xxtea,https://github.com/xxtea/xxtea-nim,nimble
nimmm,https://github.com/joachimschmidt557/nimmm,nimble
mathexpr,https://github.com/Yardanico/nim-mathexpr,nimble
graphics,https://github.com/nim-lang/graphics,nimble
spurdify,https://github.com/paradox460/spurdify,nimble
markdown,https://github.com/soasme/nim-markdown,nimble
slim,https://github.com/bung87/slim,nimble
nimspice,https://github.com/CodeDoes/nimspice,nimble
asyncanything,https://github.com/hamidb80/asyncanything,nimble
romanim,https://github.com/bichanna/romanim,nimble
libravatar,https://github.com/juancarlospaco/nim-libravatar,nimble
cligen,https://github.com/c-blake/cligen,nimble
libsodium,https://github.com/FedericoCeratto/nim-libsodium,nimble
nhsl,https://github.com/twist-vector/nhsl,nimble
expat,https://github.com/nim-lang/expat,nimble
inim,https://github.com/inim-repl/INim,nimble
crosscompile,https://github.com/juancarlospaco/nim-crosscompile,nimble
algebraicdatas,https://github.com/chocobo333/AlgebraicDataTypes,nimble
persistent_enums,https://github.com/yglukhov/persistent_enums,nimble
iterutils,https://github.com/def-/iterutils,nimble
usagov,https://github.com/juancarlospaco/nim-usagov,nimble
nimcat,https://github.com/shakna-israel/nimcat,nimble
nimroutine,https://github.com/rogercloud/nim-routine,nimble
drand48,https://github.com/JeffersonLab/drand48,nimble
kmod,https://github.com/alaviss/kmod,nimble
resolv,https://github.com/mildred/resolv.nim,nimble
csvql,https://github.com/Bennyelg/csvql,nimble
proton,https://github.com/jasonrbriggs/proton-nim,nimble
puppy,https://github.com/treeform/puppy,nimble
fae,https://github.com/h3rald/fae,nimble
rosencrantz,https://github.com/andreaferretti/rosencrantz,nimble
nimtess2,https://github.com/genotrance/nimtess2,nimble
mdlldk,https://github.com/rockcavera/nim-mdlldk,nimble
azure_translate,https://github.com/williamhatcher/azure_translate,nimble
quadtree,https://github.com/Nycto/QuadtreeNim,nimble
strenc,https://github.com/Yardanico/nim-strenc,nimble
about,https://github.com/aleandros/about,nimble
stb_truetype,https://github.com/guzba/stb_truetype,nimble
useradd,https://github.com/theAkito/nim-useradd,nimble
huffman,https://github.com/xzeshen/huffman,nimble
mmgeoip,https://github.com/FedericoCeratto/nim-mmgeoip,nimble
checkpack,https://gitlab.com/EchoPouet/checkpack,nimble
pnm,https://github.com/jiro4989/pnm,nimble
untar,https://github.com/dom96/untar,nimble
finder,https://github.com/bung87/finder,nimble
fision,https://github.com/juancarlospaco/fision,nimble
rect,https://github.com/jiro4989/rect,nimble
sumtypes,https://github.com/beef331/sumtypes,nimble
mctranslog,https://github.com/abbeymart/mctranslog,nimble
paravim,https://github.com/paranim/paravim,nimble
tsundoku,https://github.com/FedericoCeratto/tsundoku,nimble
pythonmath,https://github.com/achesak/nim-pythonmath,nimble
nimssl,https://github.com/genotrance/nimssl,nimble
signals,https://github.com/fowlmouth/signals.nim,nimble
glm,https://github.com/stavenko/nim-glm,nimble
siwin,https://github.com/levovix0/siwin,nimble
denim_ui_cairo,https://github.com/nortero-code/midio-ui-cairo,nimble
frida,https://github.com/ba0f3/frida.nim,nimble
libsvm,https://github.com/genotrance/libsvm,nimble
nimosc,https://github.com/Psirus/NimOSC,nimble
kashae,https://github.com/beef331/kashae,nimble
getmac,https://github.com/PMunch/getmac,nimble
niup,https://github.com/dariolah/niup,nimble
redisparser,https://github.com/xmonader/nim-redisparser,nimble
nimfcuk,https://github.com/2KAbhishek/nimfcuk,nimble
nrpl,https://github.com/vegansk/nrpl,nimble
run_exe,https://github.com/V0idMatr1x/run_exe,nimble
htmlToVdom,https://github.com/C-NERD/htmlToVdom,nimble
pine,https://github.com/Willyboar/pine,nimble
csvtable,https://github.com/apahl/csvtable,nimble
selenimum,https://github.com/myamyu/selenimum,nimble
tam,https://github.com/SolitudeSF/tam,nimble
triplets,https://github.com/linksplatform/Data.Triplets,nimble
neo,https://github.com/andreaferretti/neo,nimble
aporia,https://github.com/nim-lang/Aporia,nimble
edens,https://github.com/jiro4989/edens,nimble
hastyscribe,https://github.com/h3rald/hastyscribe,nimble
supranim,https://github.com/supranim/supranim,nimble
rodster,https://github.com/j-a-s-d/rodster,nimble
datetime_parse,https://github.com/bung87/datetime_parse,nimble
steam,https://github.com/juancarlospaco/nim-steam,nimble
luhny,https://github.com/sigmapie8/luhny,nimble
kview,https://github.com/planety/kview,nimble
bitarray,https://github.com/onecodex/nim-bitarray,nimble
libu2f,https://github.com/FedericoCeratto/nim-libu2f,nimble
libkeepass,https://github.com/PMunch/libkeepass,nimble
gatabase,https://github.com/juancarlospaco/nim-gatabase,nimble
nyml,https://github.com/openpeep/nyml,nimble
pvim,https://github.com/paranim/pvim,nimble
